they will love;pokochają
sky;niebo
again;znowu
himself;się
clouded;zachmurzyło
Sun;słońce
already;już
almost;prawie
came out;wyszło
from behind;zza
clouds;chmur
Sun;słońce
already;już
occurred;zachodziło
and;i
did;robiło
himself;się
cooler;chłodniej
wind;wiatr
stuttered;zacinał
rain;deszczem
in;w
night;nocy
broke;zerwał
himself;się
wind;wiatr
everybody;wszyscy
Visitors;byli
drenched;przemoczeni
down;do
dry;suchej
thread;nitki
and;i
frightened;wystraszeni
What;co
this;to
behind;za
tree;drzewo
climbed;wspięła
himself;się
on;na
tree;drzewo
trees;drzewa
zieleniły;zieleniły
himself;się
already;już
buds;pąkami
then;pnie
trees;drzew
covered;pokryte
former;były
dust;kurzem
leaves;liście
falling;opadały
early;wcześnie
this;tego
year;roku
forest;las
oak;dębowy
trees;drzewa
growing;rosnące
around;wokół
expensive;drogi
released;wypuściły
small;małe
leaves;listki
trees;drzewa
dripping;ociekały
water;wodą
wind;wiatr
moving;poruszał
leaves;liśćmi
trees;drzewa
former;były
wreathed;spowite
fog;mgłą
after;po
both;obu
sides;stronach
expensive;drogi
tall;rosły
trees;drzewa
on;na
way;drodze
There were;leżały
wet;mokre
wilted;zwiędłe
leaves;liście
evening;wieczór
passes;mija
I'll face;zmierzę
these;ci
time;czas
all;wszystko
in;w
his;swoim
time;czasie
race;wyścig
with;z
sometimes;czasem
time;czas
this;to
money;pieniądz
time;czas
passed;minął
overtook;wyprzedził
your;swoją
era;epokę
next door;tuż
before;przed
ninth;dziewiątą
It passed;minęło
many;wiele
years;lat
no one;nikt
no;nie
know;wie
when;kiedy
created;stworzono
first;pierwszy
calendar;kalendarz
remember;pamiętamy
past;przeszłość
no;nie
we know;znamy
future;przyszłości
all;wszystko
It has;ma
your;swój
time;czas
and;i
place;miejsce
why;dlaczego
exactly;akurat
today;dzisiaj
He passed;minęła
second;druga
hour;godzina
it was;było
after;po
first;pierwszej
approaching;zbliża
himself;się
hour;godzina
tenth;dziesiąta
no;nie
wait;czekaj
already;już
longer;dłużej
born;urodził
himself;się
on;na
turn;przełomie
ages;wieków
before;przed
moment;chwilą
here;tutaj
It was;był
future;przyszłość
painting;maluje
himself;się
in;w
dark;ciemnych
colors;barwach
we knew;wiedzieliśmy
that;że
this;to
already;już
end;koniec
on;na
this;ten
year;rok
a few;kilka
hours;godzin
later;później
on;na
this;to
one must;trzeba
more;więcej
time;czasu
he had;musiał
this;to
be;być
end;koniec
October;października
no;nie
I remember;pamiętam
more precisely;dokładnej
the date;daty
in;w
one;jednej
time;chwili
church;kościół
emptied;opustoszał
had;musiało
be;być
already;już
after;po
sixteenth;szesnastej
clock;zegar
on;na
bonds;wieży
inside;wybił
midnight;północ
some;pewnego
March;marcowego
evening;wieczoru
once;raz
on;na
bake;pięć
years;lat
yet;jeszcze
a few;kilka
minutes;minut
no;nie
we had;musieliśmy
long;długo
wait;czekać
everywhere;wszędzie
around;dookoła
in;w
Nearby;pobliżu
border;granicy
with;z
Canada;kanadą
is;jest
wider;szerszy
about;o
meter;metr
village;wieś
moonflet;moonflet
is;leży
half;pół
mile;mili
from;od
sea;morza
on;na
right;prawym
or;czyli
west;zachodnim
shore;brzegu
the river;rzeczki
fleet;fleet
corridor;korytarz
he had;miał
two;dwa
steps;kroki
width;szerokości
steps;krokami
measured out;odmierzyła
distance;odległość
lay;leżał
over there;tam
without;bez
motion;ruchu
flashed;przemknęła
next to;obok
me;mnie
ran;pobiegli
with;z
back;powrotem
departed;odszedł
slowly;powoli
we were going;szliśmy
many;wiele
mil;mil
chaplain;kapelan
shook;pokręcił
head;głową
and;i
started;ruszył
further;dalej
steepled;zaplótł
hands;ręce
on;na
knee;kolanie
I drove;pojechałem
narrow;wąską
way;drogą
to;ku
the river;rzece
I think;myślę
that;że
no;nie
We will get;zajedziemy
far;daleko
both;obaj
they started;zaczęli
run;biec
we entered;weszliśmy
on;na
up;górę
after;po
ladder;drabinie
we were going;szliśmy
fast;szybko
headed;ruszyłem
through;przez
fields;łąki
in;w
page;stronę
church;kościoła
walking;chodząc
wafted;unosił
himself;się
on;na
toes;palcach
ran;biegała
faster;szybciej
than;niż
many;wielu
boys;chłopców
in;w
silence;ciszy
night;nocy
some;niektórzy
wounded;ranni
shouted;krzyczeli
but;ale
most;większość
was;była
quietly;cicho
I heard;usłyszałem
murmurs;szmery
and;i
rumbling;łoskoty
grass;trawa
creaked;trzeszczała
under;pod
my;moimi
feet;stopami
creepy;przerażająca
silence;cisza
crypt;krypty
she stayed;została
disrupted;zakłócona
I heard;słyszałem
murmur;szmer
receding;oddalających
himself;się
votes;głosów
echo;echo
my;mojego
own;własnego
voice;głosu
no;nie
I could;mogłem
withstand;wytrzymać
this;tej
tormenting;dręczącej
silence;ciszy
There was;panowała
silence;cisza
be heard;słychać
it was;było
only;tylko
scratching;chrobotanie
horses;koni
paled;zbladł
dark;ciemny
grenade;granat
night;nocy
steel;stał
himself;się
foggy;mglisto
Gray;szary
night;noc
already;już
ashen;poszarzała
all;wszystko
it was;było
pearly gray;perłowoszare
already;już
is;jest
dark;ciemno
darkens;ściemnia
himself;się
let;niech
will shine;rozbłyśnie
light;światło
rays;promienie
the sun;słońca
fell;wpadały
down;do
room;pokoju
light;światło
penetrated;przedzierało
himself;się
through;przez
door;drzwi
darkened;ściemniało
himself;się
shadow;cień
his;jego
hand;ręki
fell;padł
on;na
wall;ścianę
I saw;zobaczyłem
Sun;słońce
coming;wpadające
through;przez
window;okno
on;na
court;dworze
it was;było
dark;ciemno
it was;było
already;już
almost;prawie
dark;ciemno
on;na
court;dworze
dusk;zmierzchało
himself;się
moon;księżyc
very;bardzo
brightly;jasno
shines;błyszczy
on;na
lagoon;lagunie
falling;zapadał
dusk;zmierzch
darkness;mrok
thickened;zgęstniał
I saw;dostrzegłem
red;czerwony
reflection;odblask
on;na
curtains;zasłonach
I saw;ujrzałem
flash;błysk
blue;niebieskiego
light;światła
on;na
bow;dziobie
boats;łodzi
I switched off;zgasiłem
candle;świecę
candle;świeca
flickered;zamigotała
I saw;dojrzałem
thin;cieniutką
line;linię
light;światła
Sun;słońce
there;zachodzi
on;na
another;następną
night;noc
streak;smużka
brightness;jasności
pale;pobladła
again;znów
himself;się
creeps;wkrada
terrible;straszliwy
darkness;mrok
falling;zapadał
dusk;zmierzch
flame;płomień
faded;bladł
and;coraz
more;bardziej
candle;świeca
already;już
himself;się
dopalała;dopalała
